                tablename                |                       indexname                        |                                                                                                                                              indexdef                                                                                                                                              
-----------------------------------------+--------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 AliasBiomarcador                        | AliasBiomarcador_pkey                                  | CREATE UNIQUE INDEX "AliasBiomarcador_pkey" ON public."AliasBiomarcador" USING btree ("Alias")
 AliasBiomarcador                        | IX_AliasBio_BiomarcadorId                              | CREATE INDEX "IX_AliasBio_BiomarcadorId" ON public."AliasBiomarcador" USING btree ("BiomarcadorId")
 AliasBiomarcador                        | UX_AliasBiomarcador_AliasCanon                         | CREATE UNIQUE INDEX "UX_AliasBiomarcador_AliasCanon" ON public."AliasBiomarcador" USING btree ("AliasCanon")
 AliasBiomarcador                        | UX_AliasBiomarcador_PorBiomarcador                     | CREATE UNIQUE INDEX "UX_AliasBiomarcador_PorBiomarcador" ON public."AliasBiomarcador" USING btree ("BiomarcadorId", "AliasCanon")
 AliasExcipiente                         | AliasExcipiente_pkey                                   | CREATE UNIQUE INDEX "AliasExcipiente_pkey" ON public."AliasExcipiente" USING btree ("Alias")
 AliasExcipiente                         | IX_Alias_ExcipienteId                                  | CREATE INDEX "IX_Alias_ExcipienteId" ON public."AliasExcipiente" USING btree ("ExcipienteId")
 AliasExcipiente                         | UX_AliasExcipiente_AliasCanon                          | CREATE UNIQUE INDEX "UX_AliasExcipiente_AliasCanon" ON public."AliasExcipiente" USING btree ("AliasCanon")
 AliasExcipiente                         | UX_Alias_ExcipienteId_AliasCanon                       | CREATE UNIQUE INDEX "UX_Alias_ExcipienteId_AliasCanon" ON public."AliasExcipiente" USING btree ("ExcipienteId", "AliasCanon")
 AliasExcipiente                         | ux_aliasexcipiente_alias                               | CREATE UNIQUE INDEX ux_aliasexcipiente_alias ON public."AliasExcipiente" USING btree ("Alias")
 AliasSustancia                          | AliasSustancia_pkey                                    | CREATE UNIQUE INDEX "AliasSustancia_pkey" ON public."AliasSustancia" USING btree ("Alias")
 Atc                                     | Atc_pkey                                               | CREATE UNIQUE INDEX "Atc_pkey" ON public."Atc" USING btree ("Codigo")
 Atc                                     | IX_Atc_CodigoPadre                                     | CREATE INDEX "IX_Atc_CodigoPadre" ON public."Atc" USING btree ("CodigoPadre")
 AtcDicStaging                           | AtcDicStaging_pkey                                     | CREATE UNIQUE INDEX "AtcDicStaging_pkey" ON public."AtcDicStaging" USING btree ("Codigo")
 AtcDicStaging                           | IX_AtcDic_CodigoPadre                                  | CREATE INDEX "IX_AtcDic_CodigoPadre" ON public."AtcDicStaging" USING btree ("CodigoPadre")
 AtcXmlTemp                              | AtcXmlTemp_pkey                                        | CREATE UNIQUE INDEX "AtcXmlTemp_pkey" ON public."AtcXmlTemp" USING btree ("Codigo")
 Biomarcador                             | Biomarcador_pkey                                       | CREATE UNIQUE INDEX "Biomarcador_pkey" ON public."Biomarcador" USING btree ("Id")
 Biomarcador                             | IX_Biomarcador_Nombre_trgm                             | CREATE INDEX "IX_Biomarcador_Nombre_trgm" ON public."Biomarcador" USING gin ("Nombre" gin_trgm_ops)
 Biomarcador                             | UX_Biomarcador_NombreCanon                             | CREATE UNIQUE INDEX "UX_Biomarcador_NombreCanon" ON public."Biomarcador" USING btree ("NombreCanon")
 BiomarcadorExtractStaging               | BiomarcadorExtractStaging_pkey                         | CREATE UNIQUE INDEX "BiomarcadorExtractStaging_pkey" ON public."BiomarcadorExtractStaging" USING btree ("NRegistro", "BiomarcadorRaw", "TipoRelacion")
 BiomarcadorExtractStaging               | IX_BioExtract_NReg                                     | CREATE INDEX "IX_BioExtract_NReg" ON public."BiomarcadorExtractStaging" USING btree ("NRegistro")
 DcpDicStaging                           | DcpDicStaging_pkey                                     | CREATE UNIQUE INDEX "DcpDicStaging_pkey" ON public."DcpDicStaging" USING btree ("CodigoDcp")
 DcpDicStaging                           | IX_DcpDic_Cod                                          | CREATE INDEX "IX_DcpDic_Cod" ON public."DcpDicStaging" USING btree ("CodigoDcp")
 DcpDicStaging                           | UX_DcpDic_Codigo                                       | CREATE UNIQUE INDEX "UX_DcpDic_Codigo" ON public."DcpDicStaging" USING btree ("CodigoDcp")
 DcpDicStaging                           | idx_dcpdic_dcp                                         | CREATE INDEX idx_dcpdic_dcp ON public."DcpDicStaging" USING btree ("CodigoDcp")
 DcpDicStaging                           | idx_dcpdic_dcsa                                        | CREATE INDEX idx_dcpdic_dcsa ON public."DcpDicStaging" USING btree ("CodigoDcsa")
 DcpfDicStaging                          | DcpfDicStaging_pkey                                    | CREATE UNIQUE INDEX "DcpfDicStaging_pkey" ON public."DcpfDicStaging" USING btree ("CodigoDcpf")
 DcpfDicStaging                          | IX_DcpfDic_Cod                                         | CREATE INDEX "IX_DcpfDic_Cod" ON public."DcpfDicStaging" USING btree ("CodigoDcpf")
 DcpfDicStaging                          | UX_DcpfDic_Codigo                                      | CREATE UNIQUE INDEX "UX_DcpfDic_Codigo" ON public."DcpfDicStaging" USING btree ("CodigoDcpf")
 DcpfDicStaging                          | idx_dcpfdic_dcp                                        | CREATE INDEX idx_dcpfdic_dcp ON public."DcpfDicStaging" USING btree ("CodigoDcp")
 DcpfDicStaging                          | idx_dcpfdic_dcpf                                       | CREATE INDEX idx_dcpfdic_dcpf ON public."DcpfDicStaging" USING btree ("CodigoDcpf")
 DcsaDicStaging                          | DcsaDicStaging_pkey                                    | CREATE UNIQUE INDEX "DcsaDicStaging_pkey" ON public."DcsaDicStaging" USING btree ("CodigoDcsa")
 DcsaDicStaging                          | IX_DcsaDic_Cod                                         | CREATE INDEX "IX_DcsaDic_Cod" ON public."DcsaDicStaging" USING btree ("CodigoDcsa")
 DcsaDicStaging                          | UX_DcsaDicStaging_NombreCanon                          | CREATE UNIQUE INDEX "UX_DcsaDicStaging_NombreCanon" ON public."DcsaDicStaging" USING btree ("NombreCanon")
 DcsaDicStaging                          | idx_dcsadic_dcsa                                       | CREATE INDEX idx_dcsadic_dcsa ON public."DcsaDicStaging" USING btree ("CodigoDcsa")
 DictExcipienteOblig                     | DictExcipienteOblig_pkey                               | CREATE UNIQUE INDEX "DictExcipienteOblig_pkey" ON public."DictExcipienteOblig" USING btree ("Id")
 DictExcipienteOblig                     | ix_deo_nombre                                          | CREATE INDEX ix_deo_nombre ON public."DictExcipienteOblig" USING btree (lower("Nombre"))
 DictPrincipioActivo                     | DictPrincipioActivo_Codigo_key                         | CREATE UNIQUE INDEX "DictPrincipioActivo_Codigo_key" ON public."DictPrincipioActivo" USING btree ("Codigo")
 DictPrincipioActivo                     | DictPrincipioActivo_pkey                               | CREATE UNIQUE INDEX "DictPrincipioActivo_pkey" ON public."DictPrincipioActivo" USING btree ("Id")
 DictPrincipioActivo                     | ix_dpa_nombre                                          | CREATE INDEX ix_dpa_nombre ON public."DictPrincipioActivo" USING btree (lower("Nombre"))
 Documento                               | Documento_pkey                                         | CREATE UNIQUE INDEX "Documento_pkey" ON public."Documento" USING btree ("Id")
 Documento                               | IX_Doc_NReg_LastTried                                  | CREATE INDEX "IX_Doc_NReg_LastTried" ON public."Documento" USING btree ("NRegistro", "Fecha" DESC)
 Documento                               | IX_Documento_NRegistro                                 | CREATE INDEX "IX_Documento_NRegistro" ON public."Documento" USING btree ("NRegistro")
 Documento                               | UX_Doc_NReg_Tipo_UrlPdf                                | CREATE UNIQUE INDEX "UX_Doc_NReg_Tipo_UrlPdf" ON public."Documento" USING btree ("NRegistro", "Tipo", COALESCE("UrlPdf", ''::text))
 EnvaseDicStaging                        | EnvaseDicStaging_pkey                                  | CREATE UNIQUE INDEX "EnvaseDicStaging_pkey" ON public."EnvaseDicStaging" USING btree ("Id")
 EnvaseDicStaging                        | IX_EnvaseDic_Id                                        | CREATE INDEX "IX_EnvaseDic_Id" ON public."EnvaseDicStaging" USING btree ("Id")
 EnvaseDicStaging                        | UX_EnvaseDicStaging_NombreCanon                        | CREATE UNIQUE INDEX "UX_EnvaseDicStaging_NombreCanon" ON public."EnvaseDicStaging" USING btree ("NombreCanon")
 Excipiente                              | Excipiente_pkey                                        | CREATE UNIQUE INDEX "Excipiente_pkey" ON public."Excipiente" USING btree ("Id")
 ExcipientesDeclObligDicStaging          | ExcipientesDeclObligDicStaging_pkey                    | CREATE UNIQUE INDEX "ExcipientesDeclObligDicStaging_pkey" ON public."ExcipientesDeclObligDicStaging" USING btree ("CodExcipiente")
 FormaFarmaceutica                       | FormaFarmaceutica_pkey                                 | CREATE UNIQUE INDEX "FormaFarmaceutica_pkey" ON public."FormaFarmaceutica" USING btree ("Id")
 FormaFarmaceutica                       | IX_FormaFarmaceutica_NombreCanon                       | CREATE INDEX "IX_FormaFarmaceutica_NombreCanon" ON public."FormaFarmaceutica" USING btree ("NombreCanon")
 FormaFarmaceutica                       | UX_FormaFarmaceutica_NombreCanon                       | CREATE UNIQUE INDEX "UX_FormaFarmaceutica_NombreCanon" ON public."FormaFarmaceutica" USING btree ("NombreCanon")
 FormaFarmaceuticaDicStaging             | FormaFarmaceuticaDicStaging_pkey                       | CREATE UNIQUE INDEX "FormaFarmaceuticaDicStaging_pkey" ON public."FormaFarmaceuticaDicStaging" USING btree ("Id")
 FormaFarmaceuticaDicStaging             | IX_FormaDic_Id                                         | CREATE INDEX "IX_FormaDic_Id" ON public."FormaFarmaceuticaDicStaging" USING btree ("Id")
 FormaFarmaceuticaDicStaging             | UX_FormaFarmaceuticaDicStaging_NombreCanon             | CREATE UNIQUE INDEX "UX_FormaFarmaceuticaDicStaging_NombreCanon" ON public."FormaFarmaceuticaDicStaging" USING btree ("NombreCanon")
 FormaFarmaceuticaDicStaging             | idx_forma_nombre_trgm                                  | CREATE INDEX idx_forma_nombre_trgm ON public."FormaFarmaceuticaDicStaging" USING gin (immutable_unaccent(upper("Nombre")) gin_trgm_ops)
 FormaFarmaceuticaMap                    | FormaFarmaceuticaMap_pkey                              | CREATE UNIQUE INDEX "FormaFarmaceuticaMap_pkey" ON public."FormaFarmaceuticaMap" USING btree ("IdJson")
 FormaFarmaceuticaSimplMap               | FormaFarmaceuticaSimplMap_pkey                         | CREATE UNIQUE INDEX "FormaFarmaceuticaSimplMap_pkey" ON public."FormaFarmaceuticaSimplMap" USING btree ("IdJson")
 FormaFarmaceuticaSimplificada           | FormaFarmaceuticaSimplificada_pkey                     | CREATE UNIQUE INDEX "FormaFarmaceuticaSimplificada_pkey" ON public."FormaFarmaceuticaSimplificada" USING btree ("Id")
 FormaFarmaceuticaSimplificada           | UX_FormaFarmaceuticaSimplificada_NombreCanon           | CREATE UNIQUE INDEX "UX_FormaFarmaceuticaSimplificada_NombreCanon" ON public."FormaFarmaceuticaSimplificada" USING btree ("NombreCanon")
 FormaFarmaceuticaSimplificadaDicStaging | FormaFarmaceuticaSimplificadaDicStaging_pkey           | CREATE UNIQUE INDEX "FormaFarmaceuticaSimplificadaDicStaging_pkey" ON public."FormaFarmaceuticaSimplificadaDicStaging" USING btree ("Id")
 FormaFarmaceuticaSimplificadaDicStaging | IX_FormaSimplDic_Id                                    | CREATE INDEX "IX_FormaSimplDic_Id" ON public."FormaFarmaceuticaSimplificadaDicStaging" USING btree ("Id")
 FormaFarmaceuticaSimplificadaDicStaging | UX_FormaFarmaceuticaSimplificadaDicStaging_NombreCanon | CREATE UNIQUE INDEX "UX_FormaFarmaceuticaSimplificadaDicStaging_NombreCanon" ON public."FormaFarmaceuticaSimplificadaDicStaging" USING btree ("NombreCanon")
 FormaFarmaceuticaSimplificadaDicStaging | idx_forma_simpl_nombre_trgm                            | CREATE INDEX idx_forma_simpl_nombre_trgm ON public."FormaFarmaceuticaSimplificadaDicStaging" USING gin (immutable_unaccent(upper("Nombre")) gin_trgm_ops)
 Foto                                    | Foto_NReg_Orden_key                                    | CREATE UNIQUE INDEX "Foto_NReg_Orden_key" ON public."Foto" USING btree ("NRegistro", "Orden")
 Foto                                    | Foto_pkey                                              | CREATE UNIQUE INDEX "Foto_pkey" ON public."Foto" USING btree ("Id")
 Foto                                    | IX_Foto_NRegistro                                      | CREATE INDEX "IX_Foto_NRegistro" ON public."Foto" USING btree ("NRegistro")
 Foto                                    | UQ_Foto_NRegistro_Url                                  | CREATE UNIQUE INDEX "UQ_Foto_NRegistro_Url" ON public."Foto" USING btree ("NRegistro", "Url")
 LabGrupoCif                             | IX_LabGrupoCif_CifCanon                                | CREATE INDEX "IX_LabGrupoCif_CifCanon" ON public."LabGrupoCif" USING btree ("CifCanon")
 LabGrupoCif                             | IX_LabGrupoCif_LabId                                   | CREATE INDEX "IX_LabGrupoCif_LabId" ON public."LabGrupoCif" USING btree ("LabId")
 LabGrupoCif                             | LabGrupoCif_pkey                                       | CREATE UNIQUE INDEX "LabGrupoCif_pkey" ON public."LabGrupoCif" USING btree ("GrupoId")
 LabGrupoCifCanon                        | LabGrupoCifCanon_pkey                                  | CREATE UNIQUE INDEX "LabGrupoCifCanon_pkey" ON public."LabGrupoCifCanon" USING btree ("CifCanon")
 LabGrupoCifOverride                     | LabGrupoCifOverride_pkey                               | CREATE UNIQUE INDEX "LabGrupoCifOverride_pkey" ON public."LabGrupoCifOverride" USING btree ("CifCanon")
 Laboratorio                             | Laboratorio_pkey                                       | CREATE UNIQUE INDEX "Laboratorio_pkey" ON public."Laboratorio" USING btree ("Id")
 Laboratorio                             | UX_Laboratorio_NombreCanon                             | CREATE UNIQUE INDEX "UX_Laboratorio_NombreCanon" ON public."Laboratorio" USING btree ("NombreCanon")
 LaboratorioCodigoAemps                  | LaboratorioCodigoAemps_pkey                            | CREATE UNIQUE INDEX "LaboratorioCodigoAemps_pkey" ON public."LaboratorioCodigoAemps" USING btree ("Codigo")
 LaboratorioDicStaging                   | LaboratorioDicStaging_pkey                             | CREATE UNIQUE INDEX "LaboratorioDicStaging_pkey" ON public."LaboratorioDicStaging" USING btree ("Codigo")
 LaboratorioDicStaging                   | UX_LaboratorioDicStaging_NombreCanon                   | CREATE UNIQUE INDEX "UX_LaboratorioDicStaging_NombreCanon" ON public."LaboratorioDicStaging" USING btree ("NombreCanon")
 LaboratorioInfo                         | IX_LabInfo_CIF_Canon                                   | CREATE INDEX "IX_LabInfo_CIF_Canon" ON public."LaboratorioInfo" USING btree ("CifCanon")
 LaboratorioInfo                         | IX_LabInfo_CP_Canon                                    | CREATE INDEX "IX_LabInfo_CP_Canon" ON public."LaboratorioInfo" USING btree ("CodigoPostalCanon")
 LaboratorioInfo                         | IX_LabInfo_Cif                                         | CREATE INDEX "IX_LabInfo_Cif" ON public."LaboratorioInfo" USING btree (lower("Cif")) WHERE ("Cif" IS NOT NULL)
 LaboratorioInfo                         | IX_LabInfo_Localidad                                   | CREATE INDEX "IX_LabInfo_Localidad" ON public."LaboratorioInfo" USING btree (lower("Localidad")) WHERE ("Localidad" IS NOT NULL)
 LaboratorioInfo                         | LaboratorioInfo_pkey                                   | CREATE UNIQUE INDEX "LaboratorioInfo_pkey" ON public."LaboratorioInfo" USING btree ("LabId")
 LaboratoriosDicStaging                  | LaboratoriosDicStaging_pkey                            | CREATE UNIQUE INDEX "LaboratoriosDicStaging_pkey" ON public."LaboratoriosDicStaging" USING btree ("Codigo")
 MedicamentoAtc                          | IX_MedAtc_Codigo                                       | CREATE INDEX "IX_MedAtc_Codigo" ON public."MedicamentoAtc" USING btree ("Codigo")
 MedicamentoAtc                          | IX_MedicamentoAtc_Codigo                               | CREATE INDEX "IX_MedicamentoAtc_Codigo" ON public."MedicamentoAtc" USING btree ("Codigo")
 MedicamentoAtc                          | IX_MedicamentoAtc_NRegistro                            | CREATE INDEX "IX_MedicamentoAtc_NRegistro" ON public."MedicamentoAtc" USING btree ("NRegistro")
 MedicamentoAtc                          | MedicamentoAtc_pkey                                    | CREATE UNIQUE INDEX "MedicamentoAtc_pkey" ON public."MedicamentoAtc" USING btree ("NRegistro", "Codigo")
 MedicamentoBiomarcador                  | IX_MedBio_BiomarcadorId                                | CREATE INDEX "IX_MedBio_BiomarcadorId" ON public."MedicamentoBiomarcador" USING btree ("BiomarcadorId")
