 schemaname |                tablename                | n_live_tup 
------------+-----------------------------------------+------------
 public     | graph_edge                              |     472148
 public     | graph_node                              |      92192
 public     | MedicamentoAtc                          |      60349
 public     | search_terms_mv                         |      59543
 public     | MedicamentoExcipiente                   |      42930
 public     | mv_med_excip_agg                        |      41408
 public     | Presentacion                            |      29540
 public     | PresentacionContenido                   |      29540
 public     | PrescripcionStaging_NUEVA               |      29438
 public     | PresentacionContenidoStaging            |      29438
 public     | PrescripcionStaging                     |      29437
 public     | PrescripcionStaging_NUEVO               |      29437
 public     | v_catalogo_cobertura                    |      29437
 public     | v_presentacion_golden                   |      29437
 public     | MedicamentoPresentacion                 |      27705
 public     | PrincipioActivoStaging                  |      26606
 public     | MedicamentoSustancia                    |      25073
 public     | MedicamentoVia                          |      21246
 public     | Medicamentos                            |      20271
 public     | meds_ft_mv                              |      20244
 public     | MedicamentoDetalleRaw                   |      20241
 public     | Outbox                                  |      20240
 public     | DcpfDicStaging                          |      10306
 public     | Atc                                     |       7231
 public     | AtcXmlTemp                              |       7231
 public     | DcpDicStaging                           |       6951
 public     | PrincipiosActivos                       |       3316
 public     | PrincipiosActivosXmlTemp                |       3316
 public     | MedicamentoDetalleStaging               |       3148
 public     | AtcDicStaging                           |       2938
 public     | pa_map                                  |       2691
 public     | pa_unmatched                            |       2691
 public     | LaboratorioCodigoAemps                  |       1581
 public     | LaboratoriosDicStaging                  |       1581
 public     | MedicamentoDetalleNotFound              |       1415
 public     | Laboratorio                             |       1351
 public     | LaboratorioInfo                         |       1351
 public     | LabGrupoCif                             |        994
 public     | LabGrupoCifCanon                        |        916
 public     | excip_dic_map                           |        580
 public     | ExcipientesDeclObligDicStaging          |        574
 public     | FormaFarmaceutica                       |        264
 public     | FormaFarmaceuticaDicStaging             |        264
 public     | FormaFarmaceuticaMap                    |        247
 public     | pa_unmatched_map                        |        171
 public     | FormaFarmaceuticaSimplificada           |         72
 public     | FormaFarmaceuticaSimplificadaDicStaging |         72
 public     | FormaFarmaceuticaSimplMap               |         70
 public     | ViaAdministracion                       |         59
 public     | ViaAdministracionDicStaging             |         59
 public     | ViaAdministracionMap                    |         59
 public     | MedicamentoViaOverrides                 |         37
 public     | med_quarantine                          |         31
 public     | SyncRun                                 |         20
 public     | SituacionRegistroDicStaging             |          3
 public     | AliasExcipiente                         |          1
 public     | AliasBiomarcador                        |          0
 public     | AliasSustancia                          |          0
 public     | Biomarcador                             |          0
 public     | BiomarcadorExtractStaging               |          0
 public     | DcsaDicStaging                          |          0
 public     | DictExcipienteOblig                     |          0
 public     | DictPrincipioActivo                     |          0
 public     | Documento                               |          0
 public     | EnvaseDicStaging                        |          0
 public     | Excipiente                              |          0
 public     | Foto                                    |          0
 public     | LabGrupoCifOverride                     |          0
 public     | LaboratorioDicStaging                   |          0
 public     | MedicamentoBiomarcador                  |          0
 public     | PrescripcionDelta                       |          0
 public     | SustanciaActiva                         |          0
 public     | SustanciaActivaDicStaging               |          0
 public     | UnidadContenidoDicStaging               |          0
 public     | Vtm                                     |          0
 public     | VtmDicStaging                           |          0
 public     | _DcpCsv                                 |          0
 public     | _EnvasesCsv                             |          0
 public     | _UnidadContenidoCsv                     |          0
 public     | __EFMigrationsHistory                   |          0
(80 rows)

