               table_name                |           column_name           |        data_type         | character_maximum_length | is_nullable |              column_default               
-----------------------------------------+---------------------------------+--------------------------+--------------------------+-------------+-------------------------------------------
 AliasExcipiente                         | Alias                           | text                     |                          | NO          | 
 AliasExcipiente                         | ExcipienteId                    | integer                  |                          | YES         | 
 AliasExcipiente                         | AliasCanon                      | character varying        |                      256 | YES         | 
 AliasSustancia                          | Alias                           | text                     |                          | NO          | 
 AliasSustancia                          | Canon                           | text                     |                          | NO          | 
 Atc                                     | Codigo                          | character varying        |                       16 | NO          | 
 Atc                                     | Nombre                          | character varying        |                      256 | NO          | 
 Atc                                     | Nivel                           | smallint                 |                          | NO          | 
 Atc                                     | CodigoPadre                     | character varying        |                       16 | YES         | 
 AtcDicStaging                           | Codigo                          | character varying        |                       16 | NO          | 
 AtcDicStaging                           | Nombre                          | character varying        |                      256 | NO          | 
 AtcDicStaging                           | Nivel                           | smallint                 |                          | NO          | 
 AtcDicStaging                           | CodigoPadre                     | character varying        |                       16 | YES         | 
 AtcDicStaging                           | NombreCanon                     | character varying        |                      256 | YES         | 
 AtcXmlTemp                              | Codigo                          | text                     |                          | NO          | 
 AtcXmlTemp                              | Nombre                          | text                     |                          | YES         | 
 AtcXmlTemp                              | Nivel                           | smallint                 |                          | YES         | 
 AtcXmlTemp                              | CodigoPadre                     | text                     |                          | YES         | 
 DcpDicStaging                           | CodigoDcp                       | character varying        |                       16 | NO          | 
 DcpDicStaging                           | Nombre                          | text                     |                          | NO          | 
 DcpDicStaging                           | CodigoDcsa                      | character varying        |                       16 | YES         | 
 DcpDicStaging                           | NombreCanon                     | character varying        |                      256 | YES         | 
 DcpfDicStaging                          | CodigoDcpf                      | character varying        |                       16 | NO          | 
 DcpfDicStaging                          | Nombre                          | text                     |                          | NO          | 
 DcpfDicStaging                          | CodigoDcp                       | character varying        |                       16 | NO          | 
 DcpfDicStaging                          | NombreCanon                     | character varying        |                      256 | YES         | 
 DcsaDicStaging                          | CodigoDcsa                      | character varying        |                       16 | NO          | 
 DcsaDicStaging                          | Nombre                          | text                     |                          | NO          | 
 DcsaDicStaging                          | NombreCanon                     | character varying        |                      256 | YES         | 
 DictExcipienteOblig                     | Id                              | integer                  |                          | NO          | 
 DictExcipienteOblig                     | Nombre                          | text                     |                          | NO          | 
 DictPrincipioActivo                     | Id                              | integer                  |                          | NO          | 
 DictPrincipioActivo                     | Codigo                          | text                     |                          | NO          | 
 DictPrincipioActivo                     | Nombre                          | text                     |                          | NO          | 
 Documento                               | Id                              | bigint                   |                          | NO          | nextval('"Documento_Id_seq"'::regclass)
 Documento                               | NRegistro                       | character varying        |                       32 | NO          | 
 Documento                               | Tipo                            | smallint                 |                          | NO          | 
 Documento                               | Secc                            | boolean                  |                          | YES         | 
 Documento                               | UrlHtml                         | text                     |                          | YES         | 
 Documento                               | FechaRaw                        | bigint                   |                          | YES         | 
 Documento                               | Fecha                           | timestamp with time zone |                          | YES         | 
 Documento                               | UrlPdf                          | text                     |                          | YES         | 
 Documento                               | FechaDoc                        | timestamp with time zone |                          | YES         | 
 EnvaseDicStaging                        | Id                              | integer                  |                          | NO          | 
 EnvaseDicStaging                        | Nombre                          | text                     |                          | NO          | 
 EnvaseDicStaging                        | NombreCanon                     | character varying        |                      256 | YES         | 
 Excipiente                              | Id                              | bigint                   |                          | NO          | 
 Excipiente                              | Nombre                          | character varying        |                      256 | NO          | 
 ExcipientesDeclObligDicStaging          | CodExcipiente                   | text                     |                          | NO          | 
 ExcipientesDeclObligDicStaging          | Nombre                          | text                     |                          | YES         | 
 FormaCanonRaw                           | nombre_forma                    | text                     |                          | YES         | 
 FormaCanonRaw                           | nombre_forma_simpl              | text                     |                          | YES         | 
 FormaFarmaceutica                       | Id                              | integer                  |                          | NO          | 
 FormaFarmaceutica                       | Nombre                          | character varying        |                      256 | NO          | 
 FormaFarmaceutica                       | NombreCanon                     | character varying        |                      256 | YES         | 
 FormaFarmaceuticaDicStaging             | Id                              | integer                  |                          | NO          | 
 FormaFarmaceuticaDicStaging             | Nombre                          | text                     |                          | NO          | 
 FormaFarmaceuticaDicStaging             | NombreCanon                     | character varying        |                      256 | YES         | 
 FormaFarmaceuticaMap                    | IdJson                          | integer                  |                          | NO          | 
 FormaFarmaceuticaMap                    | IdDic                           | integer                  |                          | YES         | 
 FormaFarmaceuticaMap                    | NombreCanon                     | text                     |                          | YES         | 
 FormaFarmaceuticaSimplMap               | IdJson                          | integer                  |                          | NO          | 
 FormaFarmaceuticaSimplMap               | IdDic                           | integer                  |                          | YES         | 
 FormaFarmaceuticaSimplMap               | NombreCanon                     | text                     |                          | YES         | 
 FormaFarmaceuticaSimplificada           | Id                              | integer                  |                          | NO          | 
 FormaFarmaceuticaSimplificada           | Nombre                          | character varying        |                      256 | NO          | 
 FormaFarmaceuticaSimplificada           | NombreCanon                     | character varying        |                      256 | YES         | 
 FormaFarmaceuticaSimplificadaDicStaging | Id                              | integer                  |                          | NO          | 
 FormaFarmaceuticaSimplificadaDicStaging | Nombre                          | text                     |                          | NO          | 
 FormaFarmaceuticaSimplificadaDicStaging | NombreCanon                     | character varying        |                      256 | YES         | 
 Foto                                    | Id                              | bigint                   |                          | NO          | nextval('"Foto_Id_seq"'::regclass)
 Foto                                    | NRegistro                       | character varying        |                       32 | NO          | 
 Foto                                    | Tipo                            | character varying        |                       32 | YES         | 
 Foto                                    | Url                             | text                     |                          | NO          | 
 Foto                                    | FechaRaw                        | bigint                   |                          | YES         | 
 Foto                                    | Fecha                           | timestamp with time zone |                          | YES         | 
 Foto                                    | Orden                           | integer                  |                          | YES         | 
 Foto                                    | Principal                       | boolean                  |                          | YES         | 
 Laboratorio                             | Id                              | integer                  |                          | NO          | nextval('"Laboratorio_Id_seq"'::regclass)
 Laboratorio                             | Nombre                          | character varying        |                      256 | NO          | 
 Laboratorio                             | NombreCanon                     | character varying        |                      256 | YES         | 
 Laboratorio                             | CodigoAemps                     | integer                  |                          | YES         | 
 LaboratoriosDicStaging                  | Codigo                          | integer                  |                          | NO          | 
 LaboratoriosDicStaging                  | Nombre                          | text                     |                          | NO          | 
 LaboratoriosDicStaging                  | Direccion                       | text                     |                          | YES         | 
 LaboratoriosDicStaging                  | CodigoPostal                    | text                     |                          | YES         | 
 LaboratoriosDicStaging                  | Localidad                       | text                     |                          | YES         | 
 LaboratoriosDicStaging                  | Cif                             | text                     |                          | YES         | 
 LaboratoriosDicStaging                  | NombreCanon                     | character varying        |                      256 | YES         | 
 MedicamentoAtc                          | NRegistro                       | character varying        |                       32 | NO          | 
 MedicamentoAtc                          | Codigo                          | character varying        |                       16 | NO          | 
 MedicamentoDetalleNotFound              | NRegistro                       | text                     |                          | NO          | 
 MedicamentoDetalleNotFound              | HttpStatus                      | integer                  |                          | YES         | 
 MedicamentoDetalleNotFound              | Reason                          | text                     |                          | YES         | 
 MedicamentoDetalleNotFound              | Attempts                        | integer                  |                          | NO          | 0
 MedicamentoDetalleNotFound              | FirstSeen                       | timestamp with time zone |                          | NO          | now()
 MedicamentoDetalleNotFound              | LastTried                       | timestamp with time zone |                          | NO          | now()
 MedicamentoDetalleRaw                   | NRegistro                       | character varying        |                       32 | NO          | 
